id,nombre_cliente,direccion,fecha_entrega,horario,numero_pedido,total_pedido,descuento,total_pagar,telefono,email
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Juan Pérez,Zufriategui 443, La Ferrere, Argentina,18/09/2025,08:00 - 18:00,450656,1380,2000,0,+54 11 1234-5678,juan.perez@email.com
b2c3d4e5-f6g7-8901-bcde-f23456789012,María González,Av. Corrientes 1234, CABA, Argentina,19/09/2025,09:00 - 19:00,450657,2500,1500,1000,+54 11 2345-6789,maria.gonzalez@email.com
c3d4e5f6-g7h8-9012-cdef-345678901234,Carlos Rodríguez,San Martín 567, Rosario, Argentina,20/09/2025,10:00 - 20:00,450658,3200,2000,1200,+54 341 3456-7890,carlos.rodriguez@email.com
d4e5f6g7-h8i9-0123-defg-456789012345,Ana Martínez,Belgrano 890, Córdoba, Argentina,21/09/2025,08:30 - 18:30,450659,1800,1000,800,+54 351 4567-8901,ana.martinez@email.com
e5f6g7h8-i9j0-1234-efgh-567890123456,Pedro López,Av. Santa Fe 2345, Buenos Aires, Argentina,22/09/2025,09:30 - 19:30,450660,4200,2500,1700,+54 11 5678-9012,pedro.lopez@email.com
f6g7h8i9-j0k1-2345-fghi-678901234567,Laura Fernández,Rivadavia 678, La Plata, Argentina,23/09/2025,10:30 - 20:30,450661,2800,1800,1000,+54 221 6789-0123,laura.fernandez@email.com
g7h8i9j0-k1l2-3456-ghij-789012345678,Roberto Silva,Independencia 345, Mendoza, Argentina,24/09/2025,08:00 - 18:00,450662,3500,2000,1500,+54 261 7890-1234,roberto.silva@email.com
h8i9j0k1-l2m3-4567-hijk-890123456789,Carmen Ruiz,San Juan 456, Tucumán, Argentina,25/09/2025,09:00 - 19:00,450663,2200,1200,1000,+54 381 8901-2345,carmen.ruiz@email.com
i9j0k1l2-m3n4-5678-ijkl-901234567890,Miguel Torres,Av. Libertador 789, Salta, Argentina,26/09/2025,10:00 - 20:00,450664,4800,3000,1800,+54 387 9012-3456,miguel.torres@email.com
j0k1l2m3-n4o5-6789-jklm-012345678901,Sofia Herrera,25 de Mayo 123, Neuquén, Argentina,27/09/2025,08:30 - 18:30,450665,3100,2000,1100,+54 299 0123-4567,sofia.herrera@email.com
